Name,Population,ScienceName,FavoriteSnack,CreditCard,HomeofOrigin
Small-spotted genet,319338,Genetta genetta,Psyllium Husk,5893969347619517,Canada
Kalahari scrub robin,434003,Certotrichas paena,,3534230357825266,Thailand
Arctic hare,186029,Lepus arcticus,,3581001282625655,Philippines
,362669,Corvus brachyrhynchos,,,Nigeria
Pied cormorant,207104,Phalacrocorax varius,Titanium Dioxide and Octinoxate,5368944346412368,Philippines
"Kangaroo, western grey",37365,Macropus fuliginosus,Burr Oak,5188879346328347,Iran
,499235,Stercorarius longicausus,,36044449688841,Brazil
Mexican wolf,261060,,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",3582370752897071,
"Fox, silver-backed",224028,Vulpes chama,Octreotide acetate,3569157065587847,China
Tarantula,148003,Lasiodora parahybana,,6331105429170942385,Colombia
"Seal, harbor",113529,Phoca vitulina,Formalinum,3564267237387458,France
Indian peacock,329830,Pavo cristatus,,5602214437859448,Greece
"Blackbird, red-winged",153537,Agelaius phoeniceus,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",3534066778263368,Portugal
"Otter, african clawless",4255,Aonyx capensis,,6709609892251352816,Mozambique
Tarantula,344179,Lasiodora parahybana,OCTINOXATE,201863886148442,China
Ringtail,299641,Bassariscus astutus,,3528842795001330,Brazil
"Lion, galapagos sea",412503,Zalophus californicus,,3551033998849903,China
"Avocet, pied",475245,Recurvirostra avosetta,valsartan and hydrochlorothiazide,5100130006097987,Bolivia
Sugar glider,375977,Petaurus breviceps,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",4913027016693161,China
"Pie, rufous tree",193714,Dendrocitta vagabunda,PROMETHAZINE HYDROCHLORIDE,6391913065726349,China
"Cat, miner's",203954,Bassariscus astutus,,374288594549460,Vietnam
"Raven, white-necked",364381,Corvus albicollis,,3559116949521796,Ukraine
"Raven, white-necked",146315,Corvus albicollis,Fluconazole,201788137950959,United States
Woolly-necked stork,259705,Ciconia episcopus,Triclosan,30502352572563,Russia
"Hornbill, red-billed",467965,Tockus erythrorhyncus,ROPIVACAINE HYDROCHLORIDE MONOHYDRATE,,Chad
"Cat, long-tailed spotted",27935,Felis wiedi or Leopardus weidi,LIDOCAINE HYDROCHLORIDE,201430406333035,Indonesia
,351728,Centrocercus urophasianus,ETHYL ALCOHOL,3578149862981447,Portugal
Impala,305195,Aepyceros mylampus,Fluoxetine Hydrochloride,490507120013791071,Canada
"Bleu, red-cheeked cordon",233945,Uraeginthus bengalus,Mixture of Standardized Mites,3555409831008301,China
Blackbuck,124055,Antilope cervicapra,,5498928098756406,Argentina
Greater blue-eared starling,10765,Lamprotornis chalybaeus,Kochia scoparia,201786054913844,Russia
Little blue penguin,217769,Eudyptula minor,,5610360428089659,China
Yellow-rumped siskin,318839,Carduelis uropygialis,AMLODIPINE BESYLATE TABLET,4041598390329627,Portugal
"Marmot, yellow-bellied",485571,Marmota flaviventris,Levomefolate Calcium and Algal Powder,4041370439779158,Peru
"Opossum, american virginia",253680,Didelphis virginiana,,3579487235509191,Armenia
Common wombat,177602,Vombatus ursinus,,6706565600745623991,Sweden
"Parakeet, rose-ringed",446506,Psittacula krameri,,4508926613505788,United States
,121615,Neophron percnopterus,Diphenhydramine HCl,201523874842857,Canada
Saddle-billed stork,432771,,,3575431569607563,
"Glider, sugar",145758,Petaurus breviceps,Hyoscyamine Sulfate,3566010427284723,China
Grey lourie,8035,Lorythaixoides concolor,Octinoxate and Zinc Oxide,4911954930903057,China
"Jaeger, long-tailed",449157,Stercorarius longicausus,,5100173540319517,Chad
"Francolin, swainson's",160388,Francolinus swainsonii,Flomax,30336000929473,Philippines
Sportive lemur,441000,Lepilemur rufescens,dimethyl fumarate,4281048758215,Nigeria
Rainbow lory,319864,Trichoglossus haematodus moluccanus,,3583880623244591,Iraq
Common goldeneye,302954,Bucephala clangula,Lithium Carbonate,56105362310384714,China
Common melba finch,250161,Pytilia melba,TOPIRAMATE,560221782378692098,Philippines
Agouti,175806,Dasyprocta leporina,Amoxicillin and Clavulanate Potassium,6387698951557744,Philippines
"Baboon, olive",398832,Papio cynocephalus,Loratadine,3574550415874290,Portugal
Common goldeneye,218678,Bucephala clangula,,3577345645192093,Indonesia
Madagascar hawk owl,308122,Ninox superciliaris,,3541777249762694,Russia
Little blue penguin,345451,,SODIUM FLUORIDE,3573712853362649,
"Squirrel, arctic ground",7639,Spermophilus parryii,,3587181178933969,Morocco
Scottish highland cow,386415,Bos taurus,,6771054625586898941,China
Brown lemur,136,Lemur fulvus,,3535175349364255,Palestinian Territory
Long-tailed jaeger,12807,,Metolazone,5610597508424233924,
"Porcupine, indian",481647,,Morphine Sulfate,564182252437508569,
Vervet monkey,402810,Cercopithecus aethiops,,561074134102331310,Australia
Greater flamingo,13046,Phoenicopterus ruber,,3562711012262602,Portugal
"Heron, gray",472895,Ardea cinerea,BISMUTH SUBSALICYLATE,372301525500544,Uzbekistan
"Seal, southern elephant",38684,Mirounga leonina,,5572938712084365,Poland
Grizzly bear,463030,Ursus arctos,ESCITALOPRAM OXALATE,3565234003651508,China
Tarantula,233082,Lasiodora parahybana,,3554964368397437,Thailand
Arctic lemming,49697,Dicrostonyx groenlandicus,,,Thailand
"Ibis, puna",216926,Plegadis ridgwayi,"Berberis vulgaris, Chelidonium majus, Trifolium pratense, Glycyrrhiza glabra, Lappa major, Phytolacca decandra, Rhamnus frangula,",5010129884169438,Indonesia
Puma,144291,Felis concolor,,36533444494783,Laos
Worm snake (unidentified),76451,Carphophis sp.,,3568422515861049,Indonesia
,116114,Picoides pubescens,Cocklebur,6333559130061898,Indonesia
Red-headed woodpecker,90480,Melanerpes erythrocephalus,,3566309795570899,Poland
"Snake, tiger",153139,Notechis semmiannulatus,,372301627065701,Greece
"Ibis, sacred",174390,Threskionis aethiopicus,,3572010970972924,Brazil
"Owl, snowy",54847,Nyctea scandiaca,Miconazole nitrate,3556204173910340,Russia
North American river otter,146947,Lutra canadensis,Benzoyl Perozide,201820453235820,China
Black-crowned night heron,392212,Nycticorax nycticorax,,4041595642059,China
"Dragonfly, russian",166469,Libellula quadrimaculata,,5602234734541127,Egypt
"Heron, green-backed",78971,Butorides striatus,"OCTINOXATE, OXYBENZONE, PADIMATE O",0604298011034725,Russia
Magellanic penguin,395925,Spheniscus magellanicus,Dimethicone,201934060879951,Russia
Magistrate black colobus,231912,,Loperamide Hydrochloride,374283605595776,
Indian porcupine,171369,Hystrix indica,,3581759084752635,Sweden
Brown lemur,95791,,,3575560254976279,
Red-billed buffalo weaver,234725,Bubalornis niger,,3565170338479696,Indonesia
Springhare,367575,Pedetes capensis,,6304867133288102,Brazil
"Tortoise, radiated",195169,Geochelone radiata,,344943847353444,Indonesia
"Tortoise, asian foreset",253905,Manouria emys,MIDAZOLAM HYDROCHLORIDE,5020665521137425538,Indonesia
Wood pigeon,474096,Columba palumbus,BENZOYL PEROXIDE,5007663262388454,Greece
"Antechinus, brown",437039,Antechinus flavipes,Aspirin,,Indonesia
American bison,54515,Bison bison,,3573465962606709,Egypt
Feral rock pigeon,263109,Columba livia,,3574082273321123,China
Moose,120672,Alces alces,Acetaminophen,30421996015717,Indonesia
Giraffe,491604,Giraffe camelopardalis,,3584927030346797,Palestinian Territory
"Camel, dromedary",375047,,"dextromethorphan hydrobromide, guaifenesin",06041530785215538,
Dingo,424582,Canis dingo,Anticoagulant Citrate Phosphate Dextrose (CPD) AND AS-5 Red Cell Preservative,3575682145602797,Philippines
"Baboon, yellow",94741,Papio cynocephalus,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",4911917748730598794,Canada
Sociable weaver,137730,Philetairus socius,SOTALOL HYDROCHLORIDE,3534600896268402,Syria
"Dove, ring",224540,Columba palumbus,Captopril,677154288146130281,Madagascar
"Spoonbill, white",318713,,"Avobenzone, Octisalate, Octocrylene",3539035877832584,
"Shelduck, common",177981,Tadorna tadorna,,3558757185742967,Russia
"Dog, black-tailed prairie",218000,Cynomys ludovicianus,,50182758293860373,Indonesia
Sloth bear,471357,Melursus ursinus,,3562556531024169,Malawi
Grey lourie,273601,Lorythaixoides concolor,,5100138674011891,Japan
Southern lapwing,138615,Vanellus chilensis,Hydroxyzine Pamoate,3575740222319956,Indonesia
Black-winged stilt,231574,,Olanzapine,3541622151723591,
,389339,,Dexamethasone,3577516600303715,
"Shrike, common boubou",398386,Laniarius ferrugineus,,3544567258566319,Colombia
Sacred ibis,360701,Threskionis aethiopicus,,201601281577181,Philippines
"Gecko, tokay",159729,,Fluvoxamine Maleate,4017954380571712,
Yellow-crowned night heron,476030,Nyctanassa violacea,,3574314576535939,South Korea
Purple grenadier,409484,,SALICYLIC ACID,5020182359363392419,
Sarus crane,497530,Grus antigone,Ceftriaxone Sodium,5108751200219457,China
,388230,Bucorvus leadbeateri,Perphenazine,3589829878864672,Russia
"Coot, red-knobbed",427523,Fulica cristata,,503895228253804197,Brazil
Brolga crane,387080,,,36859313757038,
"Cardinal, black-throated",113440,Paroaria gularis,,201708780252073,Poland
"Vulture, king",428612,,,,
"Cormorant, king",92588,Phalacrocorax albiventer,,201632115523620,Spain
"Rhea, gray",82964,Rhea americana,,4175008921938605,Latvia
Levaillant's barbet,334789,Trachyphonus vaillantii,,4873076895695415,Russia
"Snake, western patch-nosed",31093,Salvadora hexalepis,Ibuprofen,3587875811414713,Czech Republic
"Sandgrouse, yellow-throated",445404,Pterocles gutturalis,calcium carbonate,3570079641532468,Argentina
Gulls (unidentified),142841,Larus sp.,Haloperidol,340906441362701,Poland
"Roadrunner, greater",272693,,,3561821059984207,
"Echidna, short-beaked",385856,Tachyglossus aculeatus,,56022236323576740,Poland
Long-billed cockatoo,304915,Cacatua tenuirostris,,201916755314253,Colombia
North American red fox,301514,,,5641820076835540,
,2212,Phalacrocorax albiventer,"colistin sulfate, neomycin sulfate, thonzonium bromide and hydrocortisone acetate",3569655186898571,Poland
Toddy cat,204738,Paradoxurus hermaphroditus,,3573048518306113,Oman
"Heron, striated",481552,Butorides striatus,,,Mexico
"Swan, trumpeter",216428,Cygnus buccinator,,3566645809887757,Democratic Republic of the Congo
Blackish oystercatcher,67536,Haematopus ater,,3530140034911583,China
Hippopotamus,113730,Hippopotamus amphibius,,501872072108095150,Brazil
"Magpie, australian",23108,Gymnorhina tibicen,"Titanium Dioxide, Zinc oxide",3536096979913642,United States
"Macaque, japanese",8874,,,,
"Hornbill, red-billed",96610,,,561062065848683842,
Lava gull,156070,Larus fuliginosus,,6759700047410683915,China
"Pintail, bahama",141654,Anas bahamensis,,560224596451219968,Greece
"Stork, yellow-billed",199753,Mycteria ibis,ABELMOSCHUS,3557816754204337,Cuba
"Catfish, blue",293672,Ictalurus furcatus,,374622349866219,Sweden
Brown hyena,149385,Hyaena brunnea,,201923667615983,Latvia
Red-breasted cockatoo,432824,Eolophus roseicapillus,BIOTIN,502065163371457717,United States
"Bat, madagascar fruit",212358,,,3538721398927364,
Springbuck,12537,Antidorcas marsupialis,Diphenhydramine Hydrochloride,3563282016415462,Croatia
Fringe-eared oryx,209629,Oryx gazella callotis,,201542043682895,Russia
"Racer, american",189775,Coluber constrictor,,3567813977426415,Philippines
Pied kingfisher,461489,Ceryle rudis,,6393424352241495,Albania
Blue waxbill,228162,Uraeginthus angolensis,iloperidone,3582396519475786,Brazil
"Colobus, white-mantled",101324,Colobus guerza,,372301362997761,Tunisia
"Duck, blue",8059,Hymenolaimus malacorhynchus,Lisinopril and Hydrochlorothiazide,,China
Swamp deer,315877,Cervus duvauceli,,4041377940935419,China
Common shelduck,216587,Tadorna tadorna,,4017958120669,China
African porcupine,323681,,Black Locust,5610158238146945,
"Meerkat, red",243578,Cynictis penicillata,Torsemide,3539900237153593,Indonesia
"Hyena, striped",60078,Hyaena hyaena,,4175004696692311,Brazil
"Moorhen, purple",454833,Porphyrio porphyrio,Divalproex Sodium,,China
"Zorro, common",293463,Dusicyon thous,,4508965161936888,Serbia
Red-capped cardinal,312863,Paroaria gularis,"Progesterone,",373162443091845,Jordan
"Possum, golden brush-tailed",377355,Trichosurus vulpecula,ONDANSETRON,5641828295788465,Philippines
Rainbow lory,251657,Trichoglossus haematodus moluccanus,,50204880781660208,Portugal
"Cormorant, flightless",36291,Nannopterum harrisi,,5209852805995554,Egypt
"Tern, arctic",231528,Sterna paradisaea,quetiapine fumarate,,France
"Shelduck, european",97220,Tadorna tadorna,Treatment Set TS128870,3552261142287378,Indonesia
"Dragon, frilled",358887,,"Octinoxate, TITANIUM DIOXIDE, and ZINC OXIDE",201402010915226,
Pale white-eye,53106,Zosterops pallidus,BENZTROPINE MESYLATE,3576914477413215,Ukraine
Ring dove,222384,Columba palumbus,,3587650543099870,Indonesia
Margay,498816,Felis wiedi or Leopardus weidi,Urtica Betula Special Order,4844652690337985,Indonesia
,381787,unavailable,estradiol,3585812653108246,Sweden
Purple moorhen,290576,Porphyrio porphyrio,,30191167692384,Czech Republic
,21432,,"ACONITUM NAPELLUS ROOT, ONION, GELSEMIUM SEMPERVIRENS ROOT, and ZINC GLUCONATE",5020898073372783402,
Land iguana,475215,Conolophus subcristatus,,3528431985552110,China
"Lizard, goanna",1903,Varanus sp.,,3577337280058796,China
Feathertail glider,79949,Acrobates pygmaeus,,3566395352269892,Kazakhstan
"Dolphin, bottle-nose",19526,Tursiops truncatus,,3544305792931602,Portugal
Common dolphin,453574,Delphinus delphis,,,China
"Buffalo, wild water",317951,Bubalus arnee,Omeprazole,3570322012638427,Armenia
"Ass, asiatic wild",324856,Equus hemionus,rOPINIRole,3560806544038520,China
"Deer, black-tailed",123806,Odocoileus hemionus,Ibuprofen,3534229862752940,Brazil
"Cat, miner's",160695,Bassariscus astutus,,560223868342372855,Malaysia
European stork,393647,Ciconia ciconia,Cetraria islandica subsp. islandica,6767547770788664643,Philippines
Four-spotted skimmer,446978,Libellula quadrimaculata,"Octinoxate, Octisalate, Oxybenzone, Avobenzone",4917792268559255,Liechtenstein
Springbok,329097,Antidorcas marsupialis,,3541729781081983,Poland
"Barbet, levaillant's",343394,Trachyphonus vaillantii,,5602240422740194,Indonesia
"Oryx, fringe-eared",50653,,,4913597598704800,
Saddle-billed stork,496758,Ephipplorhynchus senegalensis,acyclovir,3558482179770532,Kuwait
"Ox, musk",14871,Ovibos moschatus,,6389701292792646,Sweden
Emu,10635,Dromaeus novaehollandiae,,3536379700738243,China
Steller sea lion,316608,Eumetopias jubatus,Fluoride,3589613255846373,China
"Waterbuck, common",365757,Kobus defassa,Salicylic Acid,,China
Crowned eagle,398373,Spizaetus coronatus,"Allium cepa, Arsen iod, Euphrasia, Kali bich, Sambucus, Wyethia",5399795286547339,Colombia
Eastern quoll,22109,Dasyurus viverrinus,,4175001135569639,China
Pallas's fish eagle,273654,Haliaeetus leucoryphus,HEPARIN SODIUM,5602230246408923737,Tunisia
"Penguin, fairy",27008,Eudyptula minor,"Diphenhydramine Hydrchloride, Phenylephrine Hydrochloride",3554458418886895,Indonesia
Wattled crane,312540,Bugeranus caruncalatus,,3574989606627994,United States
Trumpeter swan,291001,Cygnus buccinator,Aluminum zirconium tetrachlorohydrex gly,50386171652396753,Poland
Yellow-throated sandgrouse,34190,Pterocles gutturalis,,3557068947700728,Niue
"Dove, ring",354728,Columba palumbus,,3541099336148251,Indonesia
"Fox, grey",307798,Vulpes cinereoargenteus,SELENIUM SULFIDE,3579737452003546,China
Clark's nutcracker,130901,Nucifraga columbiana,Loratadine,3570645024335297,Luxembourg
"Oystercatcher, blackish",370122,Haematopus ater,"CHROMIUM, COPPER, IRON, MANGANESE, IODINE, FLUORINE, MOLYBDENUM, SELENIUM, and ZINC",4936970123097357146,Brazil
Scottish highland cow,356882,Bos taurus,,3565479762306097,Malaysia
Western bearded dragon,154189,Amphibolurus barbatus,Amlodipine Besylate,,Poland
"Squirrel, eurasian red",183204,Sciurus vulgaris,Aspirin,5300253239158174,Poland
Brush-tailed rat kangaroo,124616,Bettongia penicillata,"Acetaminophen, Diphenhydramine HCl",3560523500622714,Vietnam
"Squirrel, antelope ground",314295,Ammospermophilus nelsoni,,374288988964002,China
Lava gull,340216,Larus fuliginosus,TRAZODONE HYDROCHLORIDE,3537449429809036,China
House crow,27522,Corvus brachyrhynchos,,3559985250178267,France
"Gazer, sun",286495,,Doxycycline Hyclate,5602216774510083452,
Blue wildebeest,497602,Connochaetus taurinus,,3581629930420382,Greece
,178958,Carduelis pinus,,3584582529623733,China
"Bear, american black",494421,Ursus americanus,,50382913638606860,Indonesia
"Python, carpet",104747,Morelia spilotes variegata,Alcohol,4405261131499890,Philippines
Pine snake (unidentified),351190,Pituophis melanaleucus,Etodolac,3535297716986559,Indonesia
"Catfish, blue",383608,Ictalurus furcatus,,3587109760410880,Russia
"Ass, asiatic wild",318414,Equus hemionus,Feather Mixture,4435404184037795,Panama
"Jacana, african",342101,Actophilornis africanus,Acetaminophen,561090966521070742,Indonesia
Black rhinoceros,145029,Diceros bicornis,,3532474468305972,China
Blackish oystercatcher,488966,Haematopus ater,Sertraline Hydrochloride,6333057513167168,Ethiopia
Bird (unidentified),438117,unavailable,,5374245969760337,Bulgaria
"Sunbird, lesser double-collared",245089,Nectarinia chalybea,TITANIUM DIOXIDE,491173606069550982,Indonesia
"Fowl, helmeted guinea",459064,Numida meleagris,Helium,3549195708524624,Philippines
Ringtail cat,47842,Bassariscus astutus,"Progesterone,",5602222333824952,Hungary
Lava gull,71922,,Dexamethasone,3534060217117582,
Uinta ground squirrel,39231,Spermophilus armatus,,3584303954444762,Peru
Gila monster,318769,Heloderma horridum,,503835022079400683,Peru
"Crab, red lava",88820,Graspus graspus,diltiazem hydrochloride,4041598930476763,France
Blue shark,48875,Prionace glauca,Flurazepam Hydrochloride,3544183591969630,China
Gila monster,477484,Heloderma horridum,Ibuprofen,5602235127153792,Micronesia
"Trumpeter, dark-winged",67268,Psophia viridis,Calendula officinalis and natrum muriaticum,3563591210338365,Indonesia
Lava gull,3187,Larus fuliginosus,Fluoride Toothpaste,,Indonesia
White-fronted bee-eater,239122,Merops bullockoides,glipizide,3539895319959422,Cameroon
Tiger,217317,Panthera tigris,,5038763913088704909,China
Galapagos hawk,465456,Buteo galapagoensis,Hydrocodone Bitartrate and Acetaminophen,670987213703280400,China
African pied wagtail,428017,Motacilla aguimp,Yellow Onion,3559237873036914,China
"Seal, harbor",145112,Phoca vitulina,,3552738343044799,Thailand
White-throated monitor,45759,Varanus albigularis,Losartan Potassium and Hydrochlorothiazide,,Israel
"Reedbuck, bohor",196046,Redunca redunca,varenicline tartrate,3536109560215606,China
"Turtle, long-necked",439063,Chelodina longicollis,,3579147287244952,Netherlands
"Goose, greylag",160862,Anser anser,OCTINOXATE and TITANIUM DIOXIDE,30547842269080,Cameroon
"Penguin, magellanic",36187,Spheniscus magellanicus,,5602235207981070,Malaysia
